Title,Artist,Nationality,GenderMFU,DateAcquired
"Shillingford Bridge, Oxford - See Britain First On Shell",Dacres Adams, British ,M,11/22/37
Lavenham - See Britain First on Shell,Edna Clarke-Hall, British ,F,11/22/37
Salcombe - See Britain First on Shell,Hal Woolf, British ,M,11/22/37
Bamburgh Castle - See Britain First on Shell,Algernon Newton, British ,M,11/22/37
Inverary - See Britain First on Shell,J.D.H. Harvey, British ,U,11/22/37
"Marwood, North Devon. Everywhere You Go You Can Be Sure of Shell",Eric George, British ,M,11/22/37
"Castle Howard, Co. Wicklow - Everywhere You Go You Can Be Sure of Shell",George Bissill, British ,M,11/22/37
Taynton [in the Cotswolds] Oxon - Wherever You Go You Can Be Sure of Shell,George Bissill, British ,M,11/22/37
Jubileeve in Shell,Studio, British ,U,11/22/37
Whitemay Paraffin,Studio, British ,U,11/22/37
Summer Shell - On Sale Again,Studio, British ,U,11/22/37
Todas las Milicias Fundidas en el Ejercito Popular,Melendreras, Spanish ,U,12/3/37
Aixafem el faixisme,Pere Catala Pic, Spanish ,M,12/3/37
"Arriba España, Los Nacionales",Juan Antonio Morales, Spanish ,M,12/3/37
¡Por el Orden Repbulicano! Respetad la Propriedad de los Comerciantes e Industriales,Antonio Bisquert Pérez, Spanish ,M,12/3/37
Diada de Madrid - ajudem-lo! (Madrid day  - come help),Unknown Artist,,U,12/3/37
"¡Campesino! Tus Enemigos Te Hicieron Trabajar de Sol a Sol para Alimentarlos. Ahora, que la Tierra es Tuya Trabajar de Sol a Sol para Aniquilarlos",Jesús Lozano, Spanish ,M,12/3/37
La Agitación entre el enemigo (Agitation among the enemy),Melendreras, Spanish ,U,12/3/37
Per la llibertat de Catalunya,I. G. Pinlats, Spanish ,U,12/3/37
"Obreros: si quereis, el abastecimiento de Madrid se resolverá en 40 dias",Amado Mauprivez Oliver, Spanish ,M,12/3/37
Evacuad Madrid (Evacuate Madrid),Antonio Cañavate Gómez, Spanish ,M,12/3/37
Homenaje a Madrid,unknown,,U,12/3/37
¿Que Fais-Tu Pour Empêcher Cela?,Augusto, Spanish ,U,12/3/37
"Socors Roig Internacional, Ajudeu els Caiguts!",Josep Subirats Samora, Spanish ,M,12/3/37
¿Que Fais-Tu Pour Empêcher Cela?,"Augusto, Robert Capa"," Spanish, American ",U,12/3/37
¿Que fais-tu pour empêcher cela?,Unknown Artist,,U,12/3/37
¿Que fais-tu pour empêcher cela? - Madrid,Unknown Artist,,U,12/3/37
Que Fais-tu Pour Empêcher Cela - Madrid,Unknown Artist,,U,12/3/37
El Generalisimo,Pedrero, Spanish ,U,12/3/37
Las Milicias de la Cultura Luchan Contra el Fascismo Combatiendo la Ignorancia,Mauricio Amster Cats, Chilean ,M,12/3/37
Duplicate of title page from (Prospectus for) Réincarnations du Père Ubu,Georges Rouault, French ,M,12/3/37
Prospectus forRéincarnations du Père Ubu,Georges Rouault, French ,M,12/3/37
